Name,Ingredients,Instructions,nutr_per_ingredient,quantity,unit,weight_per_ingr,Total Time,Calories
Best Ever Wheat Bread!,"['wheat flour, white, all-purpose, unenriched', 'honey', 'oil, olive, salad or cooking', 'water, bottled, generic', ""leavening agents, yeast, baker's, active dry"", 'wheat flour, white, all-purpose, unenriched', 'salt, table']","['Mix whole wheat flour, honey, oil, warm water, and yeast.', 'Let set for 15 minutes, until yeast starts to rise.', 'Add white flour and salt.', '(Start with 7-8 cups and up to nine may be added as you see necessary.', 'Especially as you are kneading the dough).', 'Knead for about 5 minutes by hand or in mixer (i.e.', 'kitchen aide).', 'Let rise until doubled in size.', 'Shape into 4 loaves and rise to desired size.', 'Bake at 350 degrees for 30 minutes.', 'Remove from bread pan after a few minutes and allow to cool on rack.', '**TIP: you may want to flour bread pans so the bread comes out easier.']","[{'fat': 8.61, 'nrg': 3185.0, 'pro': 90.37, 'sat': 1.358, 'sod': 14.0, 'sug': 2.3800000000000003}, {'fat': 0.0, 'nrg': 23713.0, 'pro': 23.46, 'sat': 0.0, 'sod': 322.0, 'sug': 6402.969999999999}, {'fat': 4968.0, 'nrg': 43792.0, 'pro': 0.0, 'sat': 685.952, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 40.0, 'sug': 0.0}, {'fat': 2.6999999999999997, 'nrg': 117.0, 'pro': 14.580000000000002, 'sat': 0.36, 'sod': 18.0, 'sug': 0.0}, {'fat': 19.68, 'nrg': 7280.0, 'pro': 206.56, 'sat': 3.104, 'sod': 32.0, 'sug': 5.44}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 13950.0, 'sug': 0.0}]","['7', '23', '23', '5', '3', '7-9', '2']","['cup', 'cup', 'cup', 'cup', 'tablespoon', 'cup', 'tablespoon']","[875.0, 7797.0, 4968.0, 1184.0, 36.0, 2000.0, 36.0]",50.0,78087.0
Tartar Sauce Recipe,"['salad dressing, mayonnaise, regular', 'oil, olive, salad or cooking', 'honey', 'horseradish, prepared', 'capers, canned', 'lemon juice, raw', 'pickle relish, sweet']","['Add all ingredients to small bowl, mix well.']","[{'fat': 82.64, 'nrg': 752.0, 'pro': 1.04, 'sat': 12.92, 'sod': 704.0, 'sug': 0.64}, {'fat': 13.5, 'nrg': 119.0, 'pro': 0.0, 'sat': 1.864, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 10.739583333333332, 'pro': 0.010624999999999999, 'sat': 0.0, 'sod': 0.14583333333333331, 'sug': 2.899895833333333}, {'fat': 0.029999999999999995, 'nrg': 2.0, 'pro': 0.05999999999999999, 'sat': 0.004, 'sod': 21.0, 'sug': 0.4}, {'fat': 0.07, 'nrg': 2.0, 'pro': 0.2, 'sat': 0.02, 'sod': 202.0, 'sug': 0.04}, {'fat': 0.024583333333333332, 'nrg': 2.25, 'pro': 0.035416666666666666, 'sat': 0.004083333333333333, 'sod': 0.08333333333333333, 'sug': 0.25625}, {'fat': 0.21000000000000002, 'nrg': 60.0, 'pro': 0.18, 'sat': 0.024, 'sod': 366.0, 'sug': 13.11}]","['1/2', '1', '1/2', '1', '1', '2', '3']","['cup', 'tablespoon', 'teaspoon', 'teaspoon', 'tablespoon', 'teaspoon', 'tablespoon']","[110.4, 13.5, 3.53125, 5.0, 8.6, 10.166666666666666, 45.0]",,947.9895833333334
Thai Ginger Chicken Recipe,"['chicken, broiler or fryers, breast, skinless, boneless, meat only, raw', 'spices, ginger, ground', 'onions, spring or scallions (includes tops and bulb), raw', 'onions, raw', 'spices, garlic powder', 'soy sauce made from soy (tamari)', 'sauce, fish, ready-to-serve', 'sugars, granulated', 'oil, olive, salad or cooking']","['Over medium heat, brown garlic in oil.', 'Add in chicken and cook for 2-3 min.', 'Add in ginger, fish sauce, soy sauce, and sugar.', 'Once chicken is cooked, add in both types of onions and turn off the heat.', 'Serve with rice.']","[{'fat': 5.9420552, 'nrg': 272.1552, 'pro': 51.0291, 'sat': 1.2768614799999998, 'sod': 102.0582, 'sug': 0.0}, {'fat': 0.48000000000000004, 'nrg': 36.0, 'pro': 0.9600000000000001, 'sat': 0.28200000000000003, 'sod': 0.0, 'sug': 0.36}, {'fat': 0.095, 'nrg': 16.0, 'pro': 0.915, 'sat': 0.016, 'sod': 8.0, 'sug': 1.165}, {'fat': 0.04, 'nrg': 16.0, 'pro': 0.44, 'sat': 0.01675, 'sod': 1.5, 'sug': 1.695}, {'fat': 0.02, 'nrg': 10.0, 'pro': 0.51, 'sat': 0.008, 'sod': 2.0, 'sug': 0.08}, {'fat': 0.04, 'nrg': 22.0, 'pro': 3.78, 'sat': 0.004, 'sod': 2010.0, 'sug': 0.62}, {'fat': 0.0, 'nrg': 6.0, 'pro': 0.91, 'sat': 0.001, 'sod': 1413.0, 'sug': 0.66}, {'fat': 0.0, 'nrg': 16.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 4.19}, {'fat': 54.0, 'nrg': 476.0, 'pro': 0.0, 'sat': 7.456, 'sod': 0.0, 'sug': 0.0}]","['1/2', '2', '1/2', '1/4', '1', '2', '1', '1', '4']","['pound', 'tablespoon', 'cup', 'cup', 'teaspoon', 'tablespoon', 'tablespoon', 'teaspoon', 'tablespoon']","[226.796, 10.8, 50.0, 40.0, 3.1, 36.0, 18.0, 4.2, 54.0]",,870.1551999999999
Fennel Sausage,"['spices, fennel seed', 'pork, fresh, loin, tenderloin, separable lean only, raw', 'pork, fresh, loin, tenderloin, separable lean only, raw', 'spices, garlic powder', 'salt, table', 'sugars, granulated', 'spices, pepper, black', 'spices, paprika', 'spices, fennel seed', 'vinegar, red wine', 'water, bottled, generic']","['Toast the fennel seeds in a small skillet over high heat, shaking the skillet to keep the seeds from burning, until they are fragrant, about 1 minute.', 'Pour the seeds onto a plate and set aside to cool to room temperature.', 'Cut the pork shoulder and fatback into 1-inch cubes and put the cubes in a large bowl.', 'In a small bowl, combine the garlic, salt, sugar, pepper, paprika, fennel pollen, and toasted fennel seeds.', 'Stir the seasonings together and sprinkle them over the pork and fatback.', 'Toss to coat the meat with the seasonings, cover the bowl tightly with plastic wrap, and refrigerate for at least 24 hours and up to two days.', '(If you are in a hurry, you can put the meat in the freezer until it is ice cold, but not frozen.)', 'Fit a meat grinder with the largest die and have the bowl of a standing mixer handy.', 'Remove the meat from the refrigerator (or freezer) and pass it through the grinder, catching the gound meat into the mixer bowl.', 'Fit the standing mixer with the paddle attachment.', 'Combine the vinegar and ice water.', 'Put the bowl with the ground meat in it on the standing mixer and mix them on low speed, gradually adding the vinegar and water until the meat is slightly sticky; you may not use all of the liquid.', 'Use the sausage according to your recipe, or transfer it to an airtight container or several containers.', 'Refrigerate the sausage for up to five days or in the freezer for up to three months.']","[{'fat': 2.6999999999999997, 'nrg': 63.0, 'pro': 2.88, 'sat': 0.09, 'sod': 18.0, 'sug': 0.0}, {'fat': 39.3717856, 'nrg': 1977.66112, 'pro': 380.110096, 'sat': 12.664288639999999, 'sod': 961.61504, 'sug': 0.0}, {'fat': 9.8429464, 'nrg': 494.41528, 'pro': 95.027524, 'sat': 3.1660721599999997, 'sod': 240.40376, 'sug': 0.0}, {'fat': 0.18, 'nrg': 90.0, 'pro': 4.590000000000001, 'sat': 0.07200000000000001, 'sod': 18.0, 'sug': 0.72}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 13950.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 96.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 25.140000000000004}, {'fat': 0.42000000000000004, 'nrg': 36.0, 'pro': 1.44, 'sat': 0.192, 'sod': 0.0, 'sug': 0.060000000000000005}, {'fat': 1.8, 'nrg': 36.0, 'pro': 1.9800000000000002, 'sat': 0.29400000000000004, 'sod': 12.0, 'sug': 1.44}, {'fat': 0.9, 'nrg': 21.0, 'pro': 0.9600000000000001, 'sat': 0.030000000000000002, 'sod': 6.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 12.0, 'pro': 0.04, 'sat': 0.0, 'sod': 4.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 5.50130026005201, 'sug': 0.0}]","['3', '4', '1', '3', '2', '2', '2', '2', '1', '1/4', '3/4']","['tablespoon', 'pound', 'pound', 'tablespoon', 'tablespoon', 'tablespoon', 'tablespoon', 'tablespoon', 'tablespoon', 'cup', 'cup']","[18.0, 1814.368, 453.592, 27.900000000000002, 36.0, 25.200000000000003, 13.799999999999999, 13.799999999999999, 6.0, 59.6, 162.83848769753953]",1441.0,2826.0764
Butter Pie Crust,"['wheat flour, white, all-purpose, unenriched', 'sugars, granulated', 'salt, table', 'butter, without salt', 'water, bottled, generic']","['Mix flour, sugar, and salt in processor.', 'Add butter; pulse until coarse meal forms.', 'Gradually blend in enough ice water to form moist clumps.', 'Gather dough into ball; divide in half.', 'Form dough into 2 balls; flatten into disks.', 'Wrap each in plastic; chill 2 hours or overnight.']","[{'fat': 3.075, 'nrg': 1137.5, 'pro': 32.275, 'sat': 0.485, 'sod': 5.0, 'sug': 0.8500000000000001}, {'fat': 0.0, 'nrg': 48.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 12.570000000000002}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1743.75, 'sug': 0.0}, {'fat': 184.32, 'nrg': 1632.0, 'pro': 1.92, 'sat': 114.704, 'sod': 32.0, 'sug': 0.16}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2.750650130026005, 'sug': 0.0}]","['2 1/2', '1', '3/4', '1', '6']","['cup', 'tablespoon', 'teaspoon', 'cup', 'tablespoon']","[312.5, 12.600000000000001, 4.5, 227.2, 81.41924384876977]",120.0,2817.5
Fresh Orange Salad Dressing,"['vinegar, red wine', 'orange juice, raw', 'orange juice, raw', 'parsley, fresh', 'sugars, granulated', 'spices, paprika', 'salt, table', 'oil, olive, salad or cooking']","['In small bowl, whisk together all ingredients except oil until well blended.', 'Gradually whisk in oil until well blended.']","[{'fat': 0.0, 'nrg': 12.0, 'pro': 0.04, 'sat': 0.0, 'sod': 4.0, 'sug': 0.0}, {'fat': 0.010416666666666666, 'nrg': 2.333333333333333, 'pro': 0.03625, 'sat': 0.0012499999999999998, 'sod': 0.041666666666666664, 'sug': 0.4339583333333333}, {'fat': 6.5, 'nrg': 1456.0, 'pro': 22.62, 'sat': 0.78, 'sod': 26.0, 'sug': 270.78999999999996}, {'fat': 0.029375, 'nrg': 1.375, 'pro': 0.11125, 'sat': 0.0049375, 'sod': 2.125, 'sug': 0.031875}, {'fat': 0.0, 'nrg': 16.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 4.19}, {'fat': 0.15, 'nrg': 3.0, 'pro': 0.165, 'sat': 0.024499999999999997, 'sod': 1.0, 'sug': 0.11999999999999998}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 581.25, 'sug': 0.0}, {'fat': 108.0, 'nrg': 952.0, 'pro': 0.0, 'sat': 14.912, 'sod': 0.0, 'sug': 0.0}]","['1/4', '1', '13', '1', '1', '1/2', '1/4', '1/2']","['cup', 'teaspoon', 'cup', 'tablespoon', 'teaspoon', 'teaspoon', 'teaspoon', 'cup']","[59.6, 5.166666666666666, 3224.0, 3.75, 4.2, 1.15, 1.5, 108.0]",,2442.708333333333
Dillhead1982's Zesty Chip Dip,"['sauce, salsa, ready-to-serve', 'dill weed, fresh', 'spices, chili powder']","['Combine dill weed and chili powder in a small cup with salsa.', 'Heat in microwave if desired.']","[{'fat': 0.48, 'nrg': 80.0, 'pro': 4.4, 'sat': 0.064, 'sod': 2048.0, 'sug': 11.52}, {'fat': 1.3, 'nrg': 52.0, 'pro': 4.03, 'sat': 0.065, 'sod': 65.0, 'sug': 0.0}, {'fat': 243.36, 'nrg': 4992.0, 'pro': 224.64, 'sat': 41.184000000000005, 'sod': 48048.0, 'sug': 118.56000000000002}]","['1', '13', '13']","['cup', 'cup', 'cup']","[288.0, 115.7, 1684.8000000000002]",,5124.0
Mathri (Salted Crackers),"['semolina, unenriched', 'wheat flour, white, all-purpose, unenriched', 'wheat flour, white, all-purpose, unenriched', 'oil, olive, salad or cooking', 'salt, table', 'spices, caraway seed', 'spices, pepper, black']","['Mix the semolina in just enough water to make it completely wet and let it soak for about 20 minutes.', 'Mix the other flours, 1/2 cup oil, salt and caraway seeds together.', 'Add the soaked semolina and knead the dough, adding about 1/4 cup water as needed, until the dough becomes semi hard and supple.', 'Make little balls (walnut size) and shape them into patties.', 'On a flat surface, roll each patty, sprinkled with a pinch of black pepper, into a small round, about 1/4"" thick.', 'Prick the rounds with fork for air vents.', 'Heat the oil in a deep frying pan or wok on medium heat.', 'Fry the mathri, few at a time, turning as needed, until golden brown on all sides.', 'Drain them on paper towels or brown paper bag.', 'Repeat for the remaining mathri.', 'Serve when completely cold.', 'Variation: May add 1 cup fresh fenugreek leaves ( 1/2 cup dry leaves), black pepper and red chili powder, when making the dough.', 'Healthy Alternative: Use milk instead of water to make the dough.', 'Add 1 tablespoon baking powder and the desired spices.', 'Take small pieces of dough and shape like bread sticks.', 'Bake in the preheated oven at 425F for 5 minutes; turn and bake for another 5 minutes until light brown.']","[{'fat': 21.0, 'nrg': 7212.0, 'pro': 254.16, 'sat': 3.012, 'sod': 24.0, 'sug': 0.0}, {'fat': 14.76, 'nrg': 5460.0, 'pro': 154.92000000000002, 'sat': 2.3280000000000003, 'sod': 24.0, 'sug': 4.08}, {'fat': 2.46, 'nrg': 910.0, 'pro': 25.82, 'sat': 0.388, 'sod': 4.0, 'sug': 0.68}, {'fat': 2592.0, 'nrg': 22848.0, 'pro': 0.0, 'sat': 357.88800000000003, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 4.34, 'nrg': 98.0, 'pro': 5.88, 'sat': 0.18199999999999997, 'sod': 0.0, 'sug': 0.13999999999999999}, {'fat': 0.14, 'nrg': 12.0, 'pro': 0.4799999999999999, 'sat': 0.064, 'sod': 0.0, 'sug': 0.02}]","['12', '12', '2', '12', '1', '14', '2']","['cup', 'cup', 'cup', 'cup', 'teaspoon', 'teaspoon', 'teaspoon']","[2004.0, 1500.0, 250.0, 2592.0, 6.0, 29.4, 4.6]",30.0,36540.0
Honey-Mustard Poppy Seed Dressing,"['vinegar, cider', 'mustard, prepared, yellow', 'honey', 'oil, olive, salad or cooking', 'spices, poppy seed']","['Combine vinegar, Dijon, and honey in blender container.', 'Process on low till blended.', 'Add oil in a slow stream till thickened.', 'Remove from blender, add poppy seeds; chill.']","[{'fat': 0.0, 'nrg': 9.0, 'pro': 0.0, 'sat': 0.0, 'sod': 3.0, 'sug': 0.18}, {'fat': 0.68, 'nrg': 12.0, 'pro': 0.7599999999999999, 'sat': 0.044, 'sod': 220.0, 'sug': 0.2}, {'fat': 0.0, 'nrg': 14434.0, 'pro': 14.280000000000001, 'sat': 0.0, 'sod': 196.0, 'sug': 3897.46}, {'fat': 7344.0, 'nrg': 64736.0, 'pro': 0.0, 'sat': 1014.0160000000001, 'sod': 0.0, 'sug': 0.0}, {'fat': 1.16, 'nrg': 15.0, 'pro': 0.5, 'sat': 0.126, 'sod': 1.0, 'sug': 0.08}]","['3', '4', '14', '34', '1']","['tablespoon', 'teaspoon', 'cup', 'cup', 'teaspoon']","[44.7, 20.0, 4746.0, 7344.0, 2.8]",,79206.0
Blackberry Compote,"['blackberries, raw', 'sugars, granulated', 'salt, table', 'cornstarch', 'lemon juice, raw']","['Combine berries, sugar and salt in a small saucepan.', 'Turn heat to medium.', 'Stir occasionally until berries release juices and mixture starts to bubble, about 35 minutes.', 'Increase heat to medium-high and boil 56 minutes or until berries are softened and juices begin to thicken.', 'Dissolve cornstarch in lemon juice and add to pan.', 'Stir to combine and allow to thicken for 1 minute.', 'Serve with waffles, pancakes, French toast, ice cream or dessert of choice.', 'Enjoy.']","[{'fat': 1.42, 'nrg': 124.0, 'pro': 4.0, 'sat': 0.04, 'sod': 2.0, 'sug': 14.06}, {'fat': 0.0, 'nrg': 192.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 50.28000000000001}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 145.08, 'sug': 0.0}, {'fat': 0.0012499999999999998, 'nrg': 10.166666666666666, 'pro': 0.006875, 'sat': 0.00025, 'sod': 0.25, 'sug': 0.0}, {'fat': 0.012291666666666666, 'nrg': 1.125, 'pro': 0.017708333333333333, 'sat': 0.0020416666666666665, 'sod': 0.041666666666666664, 'sug': 0.128125}]","['2', '1/4', '1', '1', '1']","['cup', 'cup', 'pinch', 'teaspoon', 'teaspoon']","[288.0, 50.400000000000006, 0.37439999999999996, 2.6666666666666665, 5.083333333333333]",92.0,327.2916666666667
Fire-Cider,"['alcoholic beverage, distilled, whiskey, 86 proof', 'apples, raw, with skin']","['Mix equal parts in a coffee mug.', 'Enjoy!']","[{'fat': 0.0, 'nrg': 283.495, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 0.113398}, {'fat': 0.19277660000000002, 'nrg': 58.96696, 'pro': 0.29483479999999995, 'sat': 0.03175144, 'sod': 1.13398, 'sug': 11.7820522}]","['4', '4']","['ounce', 'ounce']","[113.398, 113.398]",,342.46196
Sour Cream & Chive Bread (bread Machine),"['milk, fluid, 1% fat, without added vitamin a and vitamin d', 'water, bottled, generic', 'cream, sour, cultured', 'margarine, regular, 80% fat, composite, stick, without salt', 'sugars, granulated', 'salt, table', 'wheat flours, bread, unenriched', 'leavening agents, baking soda', 'chives, raw', ""leavening agents, yeast, baker's, active dry""]","['Place all ingredients in order given into bread machine pan.', 'Select desired settings.', 'I used the ""rapid bake"" function on my bread machine with good results.', 'Note: If your bread machine has a timer feature, it is recommended not to use it for this recipe.']","[{'fat': 80.58, 'nrg': 3468.0, 'pro': 279.48, 'sat': 52.53, 'sod': 3638.0, 'sug': 431.46}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 112.0, 'sug': 0.0}, {'fat': 519.68, 'nrg': 5376.0, 'pro': 64.96, 'sat': 272.608, 'sod': 896.0, 'sug': 91.83999999999999}, {'fat': 22.92, 'nrg': 204.0, 'pro': 0.04, 'sat': 4.314, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 24.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 6.285000000000001}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 3487.5, 'sug': 0.0}, {'fat': 6.8100000000000005, 'nrg': 1485.0, 'pro': 49.230000000000004, 'sat': 1.002, 'sod': 9.0, 'sug': 1.26}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 22662.0, 'sug': 0.0}, {'fat': 4.48, 'nrg': 224.0, 'pro': 22.400000000000002, 'sat': 0.896, 'sod': 0.0, 'sug': 13.44}, {'fat': 0.6749999999999999, 'nrg': 29.25, 'pro': 3.6450000000000005, 'sat': 0.09, 'sod': 4.5, 'sug': 0.0}]","['34', '14', '14', '2', '1 1/2', '1 1/2', '3', '18', '14', '2 1/4']","['cup', 'cup', 'cup', 'tablespoon', 'teaspoon', 'teaspoon', 'cup', 'teaspoon', 'cup', 'teaspoon']","[8296.0, 3315.2000000000003, 2688.0, 28.4, 6.300000000000001, 9.0, 411.0, 82.8, 672.0, 9.0]",,10810.25
"Easy, quick rise bread","['wheat flour, white, all-purpose, unenriched', ""leavening agents, yeast, baker's, active dry"", 'salt, table', 'sugars, granulated', 'water, bottled, generic']","['Mix all dry ingredients in a large bowl', 'Stir in water.', 'The dough will be sticky.', 'Knead dough, adding flour by increments until dough is smooth, no longer sticky and forms a large ball.', 'Let dough rest in a well oiled bowl, covered with a damp towel for 30 minutes.', 'Meanwhile preheat oven to 400', 'Form a large ball with the dough and put on greased baking sheet.', 'Sprinkle with flour and make long incisions in the surface of the dough in the shape of an X', 'Bake for 40 minutes']","[{'fat': 2.46, 'nrg': 910.0, 'pro': 25.82, 'sat': 0.388, 'sod': 4.0, 'sug': 0.68}, {'fat': 0.9, 'nrg': 39.0, 'pro': 4.86, 'sat': 0.12000000000000001, 'sod': 6.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1162.5, 'sug': 0.0}, {'fat': 0.0, 'nrg': 48.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 12.570000000000002}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 8.0, 'sug': 0.0}]","['2', '1', '1/2', '1', '1']","['cup', 'tablespoon', 'teaspoon', 'tablespoon', 'cup']","[250.0, 12.0, 3.0, 12.600000000000001, 236.8]",70.0,997.0
Hazelnut Spritz,"['nuts, hazelnuts or filberts', 'butter, without salt', 'sugars, powdered', 'vanilla extract', 'wheat flour, white, all-purpose, unenriched']","['Preheat the oven to 350F (180C).', 'Cover two baking sheets with parchment paper.', 'A plain baking sheet need not be greased.', 'Put the nuts into the food processor and grind them until very fine.', 'In a large bowl, cream the butter, sugar and vanilla with an electric mixer until light.', 'Add the ground nuts and flour.', 'Mix until smooth.', 'Put the dough into a cookie press with a star or ridged tip and press into long, narrow strips.', 'Cut into 4-inch pieces.', 'Shape the strips into rings and place on the baking sheet.', 'Bake for 10 minutes, just until lightly browned.', 'Slide baked cookies on the parchment off the baking sheet onto the countertop to cool, or place onto a wire rack to cool.', 'While the cookies bake, combine the chocolate chips and cream in a small glass bowl.', 'Microwave at high power 1 minute at a time, or place over simmering water, stirring until melted.', 'Dip cooled cookies in the chocolateso that ends are coated by 1/2-inch.', 'Place on the parchment or on waxed paper to harden.']","[{'fat': 34.93, 'nrg': 361.0, 'pro': 8.595, 'sat': 2.567, 'sod': 0.0, 'sug': 2.495}, {'fat': 184.32, 'nrg': 1632.0, 'pro': 1.92, 'sat': 114.704, 'sod': 32.0, 'sug': 0.16}, {'fat': 0.0, 'nrg': 233.5, 'pro': 0.0, 'sat': 0.0, 'sod': 1.0, 'sug': 58.685}, {'fat': 0.0, 'nrg': 12.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 0.53}, {'fat': 2.46, 'nrg': 910.0, 'pro': 25.82, 'sat': 0.388, 'sod': 4.0, 'sug': 0.68}]","['1/2', '1', '1/2', '1', '2']","['cup', 'cup', 'cup', 'teaspoon', 'cup']","[57.5, 227.2, 60.0, 4.2, 250.0]",11.0,3148.5
Glady's Hush Puppies,"['cornmeal, degermed, unenriched, yellow', 'water, bottled, generic', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'oil, olive, salad or cooking', 'onions, raw', 'wheat flour, white, all-purpose, unenriched', 'leavening agents, baking powder, double-acting, sodium aluminum sulfate', 'salt, table', 'sugars, granulated']","['Cook cornmeal and water until still.', 'Remove from heat and blend in remaining ingredients.', 'Drop by teaspoon full into the hot shortening and fry for about 7 minutes or until a nice golden brown.']","[{'fat': 4.125, 'nrg': 871.5, 'pro': 16.740000000000002, 'sat': 0.5175, 'sod': 16.5, 'sug': 3.795}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 12.0, 'sug': 0.0}, {'fat': 28.44, 'nrg': 1224.0, 'pro': 98.64000000000001, 'sat': 18.54, 'sod': 1284.0, 'sug': 152.28}, {'fat': 13.5, 'nrg': 119.0, 'pro': 0.0, 'sat': 1.864, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.02, 'nrg': 8.0, 'pro': 0.22, 'sat': 0.008375, 'sod': 0.75, 'sug': 0.8475}, {'fat': 1.23, 'nrg': 455.0, 'pro': 12.91, 'sat': 0.194, 'sod': 2.0, 'sug': 0.34}, {'fat': 0.0, 'nrg': 6.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1464.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 4650.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 16.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 4.19}]","['1 1/2', '1 1/2', '12', '1', '2', '1', '3', '2', '1']","['cup', 'cup', 'cup', 'tablespoon', 'tablespoon', 'cup', 'teaspoon', 'teaspoon', 'teaspoon']","[235.5, 355.20000000000005, 2928.0, 13.5, 20.0, 125.0, 13.799999999999999, 12.0, 4.2]",7.0,2699.5
Raspberry Bar Cookies,"['wheat flour, white, all-purpose, unenriched', 'sugars, powdered', 'margarine, regular, 80% fat, composite, stick, without salt', 'jams and preserves, apricot', 'lemon juice, raw', 'wheat flour, white, all-purpose, unenriched', 'nuts, walnuts, english', 'sugars, brown', 'margarine, regular, 80% fat, composite, stick, without salt']","['Preheat oven to 350 degrees.', ""For crust, mix ingredients together (I usually melt the butter first to make it even easier, but you don't have to) and pat into bottom of a 9-in."", 'x 13-in.', 'x 2-in.', 'pan.', 'Bake 12 minutes.', 'For filling, stir ingredients together and spread over baked crust.', 'You do not have to wait for the crust to cool.', 'For crumble topping, mix ingredients together and sprinkle over top.', 'Bake for 20 minutes.']","[{'fat': 2.46, 'nrg': 910.0, 'pro': 25.82, 'sat': 0.388, 'sod': 4.0, 'sug': 0.68}, {'fat': 0.0, 'nrg': 5604.0, 'pro': 0.0, 'sat': 0.0, 'sod': 24.0, 'sug': 1408.44}, {'fat': 183.36, 'nrg': 1632.0, 'pro': 0.32, 'sat': 34.512, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.64, 'nrg': 768.0, 'pro': 2.24, 'sat': 0.032, 'sod': 128.0, 'sug': 138.88}, {'fat': 0.07375, 'nrg': 6.75, 'pro': 0.10625, 'sat': 0.01225, 'sod': 0.25, 'sug': 0.76875}, {'fat': 41.82, 'nrg': 15470.0, 'pro': 438.94, 'sat': 6.596, 'sod': 68.0, 'sug': 11.56}, {'fat': 76.3, 'nrg': 765.0, 'pro': 17.82, 'sat': 7.167, 'sod': 2.0, 'sug': 3.05}, {'fat': 0.0, 'nrg': 6336.0, 'pro': 0.0, 'sat': 0.0, 'sod': 576.0, 'sug': 1676.16}, {'fat': 2200.32, 'nrg': 19584.0, 'pro': 3.84, 'sat': 414.144, 'sod': 0.0, 'sug': 0.0}]","['2', '12', '1', '1', '2', '34', '1', '12', '12']","['cup', 'cup', 'cup', 'cup', 'tablespoon', 'cup', 'cup', 'cup', 'cup']","[250.0, 1440.0, 227.2, 320.0, 30.5, 4250.0, 117.0, 1728.0, 2726.3999999999996]",32.0,51075.75
